model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,uniqua_accuracy,uniqua_resize_accuracy,uniqua_padded_accuracy,uniqua_truncated_accuracy,uniqua_crop_square_accuracy,model_input_sizes
mobilenetv3_small_100.lamb_in1k,CNN,ImageNet 1k,67.658,50.62370062,60.26541764,46.80851064,65.95744681,53.93474088291747,46.875,49.75961538461539,59.13461538461539,62.01923076923077,224.0
mvitv2_base.fb_in1k,Transformer,ImageNet 1k,84.45,51.50727651,71.77985948,52.12765957,64.89361702,51.82341650671785,60.21634615384615,55.64903846153846,0.0,52.88461538461539,224.0
mvitv2_small.fb_in1k,Transformer,ImageNet 1k,83.77,50.12993763,72.40437158,56.38297872,63.82978723,51.439539347408825,59.49519230769231,56.97115384615385,0.0,59.85576923076923,224.0
mvitv2_tiny.fb_in1k,Transformer,ImageNet 1k,82.41,50.23388773,71.11631538,61.70212766,58.5106383,51.24760076775432,57.45192307692308,53.36538461538461,0.0,54.80769230769231,224.0
pit_b_224.in1k,Transformer,ImageNet 1k,82.438,51.03950104,72.32630757,53.19148936,69.14893617,52.39923224568138,60.45673076923077,58.05288461538461,0.0,59.375,224.0
pit_b_distilled_224.in1k,Transformer,ImageNet 1k,83.766,50.54573805,70.45277127,44.68085106,61.70212766,50.67178502879079,62.74038461538461,56.73076923076923,0.0,63.22115384615385,224.0
pit_s_224.in1k,Transformer,ImageNet 1k,81.086,50.62370062,68.774395,51.06382979,65.95744681,53.93474088291747,50.36057692307692,53.24519230769231,0.0,57.45192307692308,224.0
pit_s_distilled_224.in1k,Transformer,ImageNet 1k,81.814,50.46777547,69.20374707,52.12765957,59.57446809,51.24760076775432,61.41826923076923,47.35576923076923,0.0,52.88461538461539,224.0
pit_ti_224.in1k,Transformer,ImageNet 1k,72.91,50.46777547,67.36924278,55.31914894,58.5106383,52.01535508637236,56.49038461538461,52.52403846153846,0.0,53.60576923076923,224.0
pit_ti_distilled_224.in1k,Transformer,ImageNet 1k,74.256,50.36382536,65.72989852,55.31914894,63.82978723,53.16698656429942,52.04326923076923,53.36538461538461,0.0,52.88461538461539,224.0
pit_xs_224.in1k,Transformer,ImageNet 1k,78.176,52.31288981,68.50117096,51.06382979,65.95744681,52.39923224568138,53.36538461538461,53.60576923076923,0.0,56.73076923076923,224.0
pit_xs_distilled_224.in1k,Transformer,ImageNet 1k,79.18,50.83160083,69.43793911,62.76595745,63.82978723,46.06525911708253,54.44711538461539,54.80769230769231,0.0,59.85576923076923,224.0
poolformer_m36.sail_in1k,MetaFormer,ImageNet 1k,82.102,50.67567568,66.66666667,57.44680851,57.44680851,53.35892514395394,56.12980769230769,53.00480769230769,0.0,58.65384615384615,224.0
poolformer_s12.sail_in1k,MetaFormer,ImageNet 1k,77.24,50.05197505,61.82669789,59.57446809,58.5106383,49.71209213051823,53.60576923076923,53.72596153846154,0.0,59.13461538461539,224.0
poolformer_s24.sail_in1k,MetaFormer,ImageNet 1k,80.294,49.22037422,70.06245121,48.93617021,63.82978723,51.0556621880998,59.375,53.24519230769231,0.0,54.32692307692308,224.0
poolformer_s36.sail_in1k,MetaFormer,ImageNet 1k,81.43,51.50727651,63.46604215,55.31914894,53.19148936,49.90403071017274,49.39903846153846,58.53365384615385,0.0,58.89423076923077,224.0
poolformerv2_m36.sail_in1k,MetaFormer,ImageNet 1k,82.216,50.02598753,65.76893052,53.19148936,54.25531915,51.631477927063344,60.9375,60.33653846153846,0.0,58.17307692307692,224.0
poolformerv2_s12.sail_in1k,MetaFormer,ImageNet 1k,78.002,50.85758836,64.32474629,56.38297872,50.0,52.207293666026864,60.45673076923077,51.32211538461539,0.0,48.55769230769231,224.0
poolformerv2_s24.sail_in1k,MetaFormer,ImageNet 1k,80.748,51.81912682,65.76893052,51.06382979,59.57446809,48.75239923224568,50.72115384615385,54.08653846153846,0.0,54.08653846153846,224.0
poolformerv2_s36.sail_in1k,MetaFormer,ImageNet 1k,81.566,50.96153846,66.93989071,55.31914894,67.0212766,51.82341650671785,57.45192307692308,55.64903846153846,0.0,56.73076923076923,224.0
pvt_v2_b0.in1k,Transformer,ImageNet 1k,70.66,51.45530146,66.04215457,50.0,56.38297872,47.2168905950096,49.27884615384615,52.16346153846154,0.0,50.72115384615385,224.0
pvt_v2_b1.in1k,Transformer,ImageNet 1k,78.704,51.92307692,63.66120219,54.25531915,57.44680851,54.12667946257198,53.24519230769231,58.53365384615385,0.0,60.81730769230769,224.0
pvt_v2_b2_li.in1k,Transformer,ImageNet 1k,82.194,49.71413721,66.74473068,48.93617021,57.44680851,52.01535508637236,59.49519230769231,58.65384615384615,0.0,51.44230769230769,224.0
pvt_v2_b2.in1k,Transformer,ImageNet 1k,82.084,49.92203742,65.49570648,57.44680851,57.44680851,51.631477927063344,55.88942307692308,54.20673076923077,0.0,61.53846153846154,224.0
pvt_v2_b3.in1k,Transformer,ImageNet 1k,83.118,51.48128898,64.24668228,56.38297872,57.44680851,51.24760076775432,56.85096153846154,51.5625,0.0,55.52884615384615,224.0
pvt_v2_b4.in1k,Transformer,ImageNet 1k,83.712,51.32536383,63.1537861,55.31914894,56.38297872,46.83301343570058,57.57211538461539,50.24038461538461,0.0,57.93269230769231,224.0
pvt_v2_b5.in1k,Transformer,ImageNet 1k,83.74,49.68814969,66.58860265,55.31914894,54.25531915,53.16698656429942,59.49519230769231,46.99519230769231,0.0,57.21153846153846,224.0
regnetx_004_tv.tv2_in1k,CNN,ImageNet 1k,74.6,49.19438669,65.06635441,47.87234043,62.76595745,47.60076775431862,50.12019230769231,49.15865384615385,0.0,50.0,224.0
